"document","topic","gamma"
"1939:The Wizard of Oz",16,0.005
"1939:The Wizard of Oz",17,0
"1939:The Wizard of Oz",18,0.032
"1939:The Wizard of Oz",19,0
"1939:The Wizard of Oz",20,0
"1939:The Wizard of Oz",21,0
"1939:The Wizard of Oz",22,0.183
"1939:The Wizard of Oz",23,0
"1939:The Wizard of Oz",24,0
"1939:The Wizard of Oz",25,0.115
"1939:The Wizard of Oz",26,0
"1939:The Wizard of Oz",27,0
"1939:The Wizard of Oz",28,0
"1939:The Wizard of Oz",29,0.023
"1939:The Wizard of Oz",30,0
"1939:The Wizard of Oz",31,0
"1939:The Wizard of Oz",32,0
"1939:The Wizard of Oz",33,0.01
"1939:The Wizard of Oz",34,0.092
"1939:The Wizard of Oz",35,0.005
"1939:The Wizard of Oz",36,0
"1939:The Wizard of Oz",37,0
"1939:The Wizard of Oz",38,0
"1939:The Wizard of Oz",39,0
"1939:The Wizard of Oz",40,0
"1939:The Wizard of Oz",41,0
"1939:The Wizard of Oz",42,0
"1939:The Wizard of Oz",43,0
"1939:The Wizard of Oz",44,0
"1939:The Wizard of Oz",45,0
"1939:The Wizard of Oz",46,0.01
"1939:The Wizard of Oz",47,0
"1939:The Wizard of Oz",48,0
"1939:The Wizard of Oz",49,0
"1939:The Wizard of Oz",50,0.014
"1939:Wuthering Heights",1,0.017
"1939:Wuthering Heights",2,0.017
"1939:Wuthering Heights",3,0.017
"1939:Wuthering Heights",4,0.017
"1939:Wuthering Heights",5,0.017
"1939:Wuthering Heights",6,0.017
"1939:Wuthering Heights",7,0.017
"1939:Wuthering Heights",8,0.017
"1939:Wuthering Heights",9,0.017
"1939:Wuthering Heights",10,0.017
"1939:Wuthering Heights",11,0.017
"1939:Wuthering Heights",12,0.017
"1939:Wuthering Heights",13,0.017
"1939:Wuthering Heights",14,0.017
"1939:Wuthering Heights",15,0.017
"1939:Wuthering Heights",16,0.017
"1939:Wuthering Heights",17,0.017
"1939:Wuthering Heights",18,0.017
"1939:Wuthering Heights",19,0.017
"1939:Wuthering Heights",20,0.017
