"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"45","1943:Heaven Can Wait",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"46","1943:Madame Curie",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"47","1943:The Human Comedy",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"48","1943:The More the Merrier",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"49","1943:The Song of Bernadette",0.002,0.002,0.002,0.017,0.017,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.092,0.017,0.002,0.002,0.002,0.002,0.168,0.002,0.002,0.002,0.032,0.002,0.047,0.002,0.002,0.426,0.002,0.002,0.002,0.002,0.002,0.032,0.002,0.017,0.002,0.032,0.002,0.047,0.002,0.002,0.002,0.002,9
"50","1943:Watch on the Rhine",0.001,0.001,0.001,0.001,0.06,0.007,0.007,0.001,0.001,0.001,0.04,0.053,0.001,0.001,0.027,0.001,0.007,0.001,0.001,0.224,0.001,0.251,0.001,0.08,0.001,0.001,0.066,0.034,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,0.001,0.001,0.001,0.034,0.04,0.001,0.001,0.001,0.02,0.014,0.001,0.001,0.007,0.001,1
"51","1944:Double Indemnity",0.013,0.001,0.044,0.001,0.001,0.05,0.001,0.001,0.001,0.013,0.007,0.136,0.001,0.001,0.001,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.068,0.001,0.013,0.001,0.117,0.001,0.007,0.001,0.001,0.001,0.007,0.001,0.031,0.001,0.001,0.007,0.001,0.129,0.007,0.001,0.001,0.313,0.001,0.001,0.001,0.001,0.001,0.001,7
"52","1944:Gaslight",0.002,0.002,0.05,0.002,0.002,0.066,0.002,0.002,0.002,0.002,0.002,0.018,0.002,0.002,0.244,0.002,0.002,0.002,0.034,0.002,0.002,0.002,0.131,0.002,0.018,0.002,0.002,0.002,0.002,0.002,0.002,0.05,0.002,0.018,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.131,0.002,0.082,0.002,0.082,0.018,0.002,12
"53","1944:Going My Way",0.001,0.234,0.001,0.001,0.001,0.001,0.015,0.084,0.001,0.001,0.001,0.001,0.001,0.248,0.001,0.001,0.001,0.001,0.138,0.001,0.001,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.07,0.001,0.042,0.001,0.001,0.015,0.029,0.001,0.015,0.001,0.001,0.001,0.015,0.001,0.001,0.015,0.001,14
"54","1944:Since You Went Away",0,0,0,0.003,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.003,0.061,0.006,0.246,0.021,0,0.003,0,0,0,0.127,0.099,0,0,0,0,0.223,0,0.006,0.035,0,0,0.006,0,0.023,0,0,0,0,0,0.003,0,0,21
